"","JNJ","GOOGL","GOOG","XOM","JPM","FB","AMZN","MSFT","AAPL"
"2008-01-02",65.910004,342.937927,340.381134,93.510002,42.169998,NA,96.25,35.220001,27.834286
"2008-01-03",65.93,343.007996,340.450684,93.830002,41.880001,NA,95.209999,35.369999,27.847143
"2008-01-04",65.839996,328.828827,326.377228,92.080002,40.93,NA,88.790001,34.380001,25.721428
"2008-01-07",66.860001,324.949951,322.527283,91.220001,41.34,NA,88.82,34.610001,25.377142
"2008-01-08",66.940002,316.156158,313.799042,90.050003,39.700001,NA,87.879997,33.450001,24.464285
"2008-01-09",67.800003,326.926941,324.489502,91.559998,40.259998,NA,85.220001,34.439999,25.628571
"2008-01-10",67.910004,323.68869,321.275421,91.660004,41.330002,NA,84.260002,34.330002,25.431429
"2008-01-11",67.879997,319.444458,317.062805,90.300003,40.860001,NA,81.080002,33.91,24.67
"2008-01-14",67.949997,327.237244,324.797516,90.830002,41.360001,NA,82.870003,34.389999,25.540001
"2008-01-15",67.760002,319.144135,316.76474,89.019997,39.169998,NA,80.239998,34,24.148571
"2008-01-16",68.309998,308.283295,305.984863,86.529999,41.43,NA,80.349998,33.23,22.805714
"2008-01-17",67.830002,300.695709,298.453857,83.910004,40.040001,NA,80.120003,33.110001,22.984285
"2008-01-18",66.290001,300.425415,298.185577,85.080002,39.59,NA,79.760002,33.009998,23.051428
"2008-01-22",65.269997,292.467468,290.286957,82.449997,40.860001,NA,78.480003,31.959999,22.234285
"2008-01-23",64.199997,274.584595,272.537415,83.449997,45.720001,NA,73.970001,31.93,19.867144
"2008-01-24",63.509998,287.532532,285.388824,86,44.959999,NA,77.669998,33.25,19.371429
"2008-01-25",62.459999,283.48349,281.369965,83.940002,43.639999,NA,77.599998,32.939999,18.572857
"2008-01-28",63.07,278.26828,276.193634,85.129997,45.57,NA,75.82,32.720001,18.572857
"2008-01-29",62.970001,275.535522,273.481262,85.080002,47.450001,NA,73.949997,32.599998,18.79143
"2008-01-30",62.18,274.409424,272.363525,85.279999,47.349998,NA,74.209999,32.200001,18.882856
"2008-01-31",63.139999,282.432434,280.326752,85.699997,47.400002,NA,77.699997,32.599998,19.337143
"2008-02-01",63.360001,258.208221,256.283112,85.949997,48.25,NA,74.629997,30.450001,19.107143
"2008-02-04",63.470001,247.962967,246.114258,85.440002,46.220001,NA,73.949997,30.190001,18.807142
"2008-02-05",62.869999,253.653656,251.762527,82.110001,43.889999,NA,72.089996,29.07,18.48
"2008-02-06",63.049999,251.10611,249.233978,81.440002,43.720001,NA,68.489998,28.52,17.428572
"2008-02-07",62.810001,252.727722,250.843506,81.889999,45.110001,NA,70.910004,28.120001,17.32
"2008-02-08",62.029999,258.603607,256.675568,81.709999,43.82,NA,73.5,28.559999,17.925714
"2008-02-11",61.880001,260.840851,258.896118,83.220001,43.349998,NA,75.190002,28.209999,18.492857
"2008-02-12",62.970001,259.304291,257.371063,84.379997,43.310001,NA,74.449997,28.34,17.837143
"2008-02-13",63.41,267.577576,265.582642,85.489998,44.099998,NA,77.730003,28.959999,18.485714
"2008-02-14",62.790001,266.391388,264.405304,85.550003,42.610001,NA,75.800003,28.5,18.20857
"2008-02-15",62.900002,265.085083,263.108734,85.370003,43.25,NA,72.959999,28.42,17.804285
"2008-02-19",63.66,254.729736,252.830582,87.010002,42.830002,NA,72.080002,28.17,17.454287
"2008-02-20",63.23,254.754761,252.855423,88.099998,43.150002,NA,73.639999,28.219999,17.688572
"2008-02-21",62.98,251.681686,249.805252,86.919998,43.07,NA,69.900002,28.1,17.362858
"2008-02-22",63.18,254.15416,252.259293,87.169998,43.93,NA,72.080002,27.68,17.065714
"2008-02-25",63.849998,243.46347,241.648315,89.129997,44.029999,NA,73.269997,27.84,17.105715
"2008-02-26",63.720001,232.327332,230.5952,89.889999,43.720001,NA,71.690002,28.379999,17.021429
"2008-02-27",63.040001,236.666672,234.902191,89.389999,44.41,NA,70.870003,28.26,17.565714
"2008-02-28",62.709999,237.932938,236.159012,89.379997,42.439999,NA,67.849998,27.93,18.558571
"2008-02-29",61.959999,235.825821,234.067612,87.010002,40.650002,NA,64.470001,27.200001,17.860001
"2008-03-03",62.23,228.738739,227.033371,87.75,39.82,NA,62.43,26.99,17.389999
"2008-03-04",62.639999,222.522522,220.863495,86.690002,39.189999,NA,65.339996,27.59,17.802856
"2008-03-05",63.130001,224.074081,222.403473,87.190002,38.740002,NA,64.989998,28.120001,17.784286
"2008-03-06",62.630001,216.566574,214.95195,84.510002,37.369999,NA,62.740002,27.57,17.275715
"2008-03-07",61.509998,216.891891,215.274841,82.489998,37.560001,NA,64.089996,27.870001,17.464285
"2008-03-10",61.330002,207.017014,205.473587,82.459999,36.48,NA,63.470001,28.049999,17.098572
"2008-03-11",62.439999,220.140137,218.498871,86.68,38.84,NA,67.150002,29.280001,18.192858
"2008-03-12",62.549999,220.310303,218.66777,85.970001,38.610001,NA,66.510002,28.629999,18.004286
"2008-03-13",62.810001,221.72673,220.073639,87.050003,38.110001,NA,68.32,28.620001,18.277143
"2008-03-14",62.650002,219.179184,217.545074,85.910004,36.540001,NA,68.220001,27.959999,18.087143
"2008-03-17",64.040001,210.145142,208.5784,85.790001,40.310001,NA,66.529999,28.299999,18.104286
"2008-03-18",65.309998,219.799805,218.161072,88.470001,42.709999,NA,71.699997,29.42,18.974285
"2008-03-19",64.879997,216.216217,214.604202,84.43,42.470001,NA,70.169998,28.620001,18.524286
"2008-03-20",65.379997,216.991989,215.374191,85,45.970001,NA,73.190002,29.18,19.038572
"2008-03-24",64.889999,230.510513,228.791931,85.949997,46.549999,NA,75.949997,29.17,19.932858
"2008-03-25",64.550003,225.615616,223.933533,85.199997,46.060001,NA,75.169998,29.139999,20.139999
"2008-03-26",64.699997,229.324326,227.614594,86.260002,44.110001,NA,73.800003,28.559999,20.722857
"2008-03-27",64.620003,222.262268,220.605179,86.199997,42.860001,NA,70.800003,28.049999,20.035715
"2008-03-28",64.18,219.259262,217.624557,85.220001,42.709999,NA,69.760002,27.91,20.43
"2008-03-31",64.870003,220.45546,218.811844,84.580002,42.950001,NA,71.300003,28.379999,20.5
"2008-04-01",65.870003,233.088089,231.350296,87.019997,47,NA,76.699997,29.5,21.361429
"2008-04-02",65.309998,233.083084,231.345322,88.519997,46.240002,NA,77.370003,29.16,21.07
"2008-04-03",65.269997,227.787781,226.089508,88.230003,46.279999,NA,74.940002,29,21.658571
"2008-04-04",65.730003,235.780777,234.022903,88.739998,45.57,NA,76.870003,29.16,21.868572
"2008-04-07",66.139999,238.648651,236.8694,88.919998,45.540001,NA,76.900002,29.16,22.27
"2008-04-08",66.32,234.139145,232.393509,89.610001,44.860001,NA,77.300003,28.75,21.834286
"2008-04-09",66.290001,232.327332,230.5952,89.699997,44.299999,NA,74.389999,28.889999,21.634285
"2008-04-10",66.330002,234.77478,233.024399,89.550003,43.860001,NA,74.830002,29.110001,22.078571
"2008-04-11",66,228.953949,227.246979,88.620003,42.529999,NA,71.989998,28.280001,21.02
"2008-04-14",65.739998,226.056061,224.370682,89.699997,41.5,NA,72.610001,28.059999,21.111429
